out_type,raw
waveMaxHeight,waveMaxHeight 1.5-2.5 GRADUALLY RISING AROUND 3.0 OVERNIGHT
wind10M,wind10M WSW 18-22 DECREASING 12-16 LATER IN THE PERIOD
wind50M,wind50M WSW 23-28 DECREASING 15-20 LATER IN THE PERIOD
waveSigHeight,"waveSigHeight 1.5 RISING 2.0-2.5 THIS EVENING, LATER 1.5-2.0"
waveMaxHeight,"waveMaxHeight 2.5 RISING 3.0-4.0 THIS EVENING, LATER 2.5-3.0"
wind10M,wind10M SSW-S 10-15 STEADILY INCREASING SSE 40-48 GUSTS 58 BY MORNING
wind50M,wind50M SSW-S 12-18 STEADILY INCREASING SSE 50-58 GUSTS 68 BY MORNING
waveSigHeight,waveSigHeight 4.0-5.0 RISING 6.0-7.0 BY MORNING
waveMaxHeight,waveMaxHeight 6.5-8.0 RISING 10.0-11.0 BY MORNING
wind10M,"wind10M N 22-28 EASING GRADUALLY 6-10, BACKING SW-S OVERNIGHT"
wind50M,"wind50M N 28-35 EASING GRADUALLY 8-12, BACKING SW-S OVERNIGHT"
wind10M,"wind10M SSW 20-24 RISING 24-28 GUSTS 36 AT TIMES THIS AFTERNOON, BACKING S TONIGHT AND EASING 14-18 LATER"
wind50M,"wind50M SSW 25-30 RISING 30-35 GUSTS 45 AT TIMES THIS AFTERNOON, BACKING S TONIGHT AND EASING 18-23 LATER"
waveSigHeight,waveSigHeight 2.5-3.0 FALLING 2.0-2.5 FOR A TIME TONIGHT
waveMaxHeight,waveMaxHeight 4.0-5.0 FALLING 3.0-4.0 FOR A TIME TONIGHT
wind10M,wind10M SE 05-10 INCREASING 26-30 BY MORNING
wind50M,wind50M SE 06-12 INCREASING 32-38 BY MORNING
waveSigHeight,waveSigHeight 1.0-1.5 RISING 2.5-3.0 BY MORNING
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING 4.0-5.0 BY MORNING
wavePeriod,wavePeriod SEA: 2-3 BECOMING 5-7 SWELL: SSE 6-8
wind10M,wind10M VARIABLE 10 OR LESS SOON S-SE. RISING LATER TO 12-18
wind50M,wind50M VARIABLE 12 OR LESS SOON S-SE. RISING LATER TO 15-22
waveSigHeight,waveSigHeight AROUND 1.0 BECOMING 1.0-1.5 LATER
waveMaxHeight,waveMaxHeight AROUND 1.5 BECOMING 1.5-2.5 LATER
windconf,windconf HITGH
wind10M,"wind10M SE 28-32 VEERING SW-W 10-15 THIS EVENING, THEN NW 06-10 BY MORNING"
wind50M,"wind50M SE 35-40 VEERING SW-W 12-18 THIS EVENING, THEN NW 07-12 BY MORNING"
waveSigHeight,waveSigHeight 3.5-4.0 FALLING 1.5-2.0 BY MORNING
waveMaxHeight,waveMaxHeight 5.5-6.5 FALLING 2.5-3.0 BY MORNING
wind10M,wind10M NW 16-20 DECREASING 10-14 LATER IN THE PERIOD
wind50M,wind50M NW 20-25 DECREASING 12-18 LATER IN THE PERIOD
waveSigHeight,waveSigHeight 1.5 RISING 2.0 BY EVENING
waveMaxHeight,waveMaxHeight 2.5 RISING 3.0 BY EVENING
wind10M,wind10M E 8-12 VEERING SE 16-20 TONIGHT
wind50M,wind50M E 10-15 VEERING SE 20-25 TONIGHT
wavePeriod,"wavePeriod SEA 3-4 RISING 4-5, SWELL 10"
wind10M,wind10M S  8 OR LESS BECOMING VARIABLE
wind50M,wind50M S 10 OR LESS BECOMING VARIABLE
wind10M,wind10M E-NE LESS THAN 08 GRADUALLY VEERING SSE
wind50M,wind50M E-NE LESS THAN 10 GRADUALLY VEERING SSE
wind10M,"wind10M E 8-12 VEERING ESE 16-20 TONIGHT, VEERING S 20-24 BY END OF PERIOD"
wind50M,"wind50M E 10-15 VEERING ESE 20-25 TONIGHT, VEERING S 25-30 BY END OF PERIOD"
waveSigHeight,waveSigHeight 0.5-1.0 RISING 1.5-2.0 TONIGHT
waveMaxHeight,waveMaxHeight 1.0-1.5 RISING 2.5-3.0 TONIGHT
wavePeriod,wavePeriod 3-5 RISING 5-6
wind10M,wind10M S-SSE 28-32 GUSTS 45
wind50M,wind50M S-SSE 35-40 GUSTS 55
waveSigHeight,waveSigHeight 4.0-4.5 RISING 4.5-5.0
waveMaxHeight,waveMaxHeight 6.5-7.5 RISING 7.5-8.0
wind10M,wind10M SW 10-14 BECOMING VARIABLE 10 OR LESS LATER
wind50M,wind50M SW 12-18 BECOMING VARIABLE 12 OR LESS LATER
wavePeriod,"wavePeriod SEA 2-4, SWELL 7"
wind10M,wind10M SW 22-26 GUSTS 36 AT FIRST EASING AND BACKING S 16-20 TONIGHT
wind50M,wind50M SW 28-33 GUSTS 45 AT FIRST EASING AND BACKING S 20-25 TONIGHT
wavePeriod,"wavePeriod SEA 5-6 FALLING 4-5, SWELL 11-12"
wind10M,wind10M SSW 30-35 GUSTS 45 GRADUALLY VEERING/DECREASING WSW 20-24 BY MORNING
wind50M,wind50M SSW 38-44 GUSTS 55 GRADUALLY VEERING/DECREASING WSW 25-30 BY MORNING
waveSigHeight,waveSigHeight 6.0-7.0 FALLING 4.0-4.5 BY MORNING
waveMaxHeight,waveMaxHeight 10.0-11.0 FALLING 6.5-7.0 BY MORNING
wind10M,wind10M CYCLONIC VARIABLE 8-12 VERY SOON BECOMING N-NW 20-25 THEN RISING 25-30 WITH GUSTS TO 40. LATER W-NW
wind50M,wind50M CYCLONIC VARIABLE 10-15 VERY SOON BECOMING N-NW 25-32 THEN RISING 32-38 WITH GUSTS TO 48. LATER W-NW
waveSigHeight,waveSigHeight AROUND 3.0 INCREASING TO 3.5-4.0
waveMaxHeight,waveMaxHeight AROUND 5.0 INCREASING TO 5.5-6.5
wind10M,wind10M SSE-SE 32-36 GUSTS 45 VEERING SSE 26-30 FOR A TIME THIS EVENING
wind50M,wind50M SSE-SE 40-45 GUSTS 55 VEERING SSE 32-38 FOR A TIME THIS EVENING
waveSigHeight,"waveSigHeight 4.0-4.5 FALLING 3.5-4.0 THIS EVENING, FROM MIDNIGHT RISING AROUND 5.5 BY MORNING"
waveMaxHeight,"waveMaxHeight 6.5-7.0 FALLING 5.5-6.5 THIS EVENING, FROM MIDNIGHT RISING AROUND 9.0 BY MORNING"
wind10M,wind10M N-NE  8-12 INCREASING 12-18 OVERNIGHT
wind50M,wind50M N-NE 10-15 INCREASING 15-22 OVERNIGHT
wind10M,wind10M SE 20-24 BACKING E TONIGHT THEN DECREASING 10-14 LATER IN THE NIGHT
wind50M,wind50M SE 25-30 BACKING E TONIGHT THEN DECREASING 12-18 LATER IN THE NIGHT
waveSigHeight,"waveSigHeight 2.0 RISING 2.5-3.0 FOR A TIME, FALLING 2.0-2.5 LATER"
waveMaxHeight,"waveMaxHeight 3.0 RISING 4.0-5.0 FOR A TIME, FALLING 3.0-4.0 LATER"
wavePeriod,"wavePeriod SEA 5-6 FALLING 3-4, SSE SWELL 7-8, WSW SWELL 11-12"
wind10M,wind10M WNW 10 OR LESS BACKING S BY EVENING THEN RISING 20-24 BY MIDNIGHT
wind50M,wind50M WNW 12 OR LESS BACKING S BY EVENING THEN RISING 25-30 BY MIDNIGHT
wavePeriod,"wavePeriod SEA 3 RISING 5-6, SWELL 7 BECOMING 11-12 IN WSW SWELL LATER"
wind10M,"wind10M NE 16-20 BACKING NNE 24-28 BY MIDNIGHT, RISING 28-32 GUSTS 40 LATER"
wind50M,"wind50M NE 20-25 BACKING NNE 30-35 BY MIDNIGHT, RISING 35-40 GUSTS 48 LATER"
waveSigHeight,waveSigHeight 2.0 RISING 4.0-4.5 LATER
waveMaxHeight,waveMaxHeight 3.0 RISING 6.5-7.0 LATER
wavePeriod,"wavePeriod SEA 4 RISING 6-7, SWELL 8-9"
wind10M,"wind10M SSW 15-20 INCREASING 20-25 THIS EVENING, VEERING SW AROUND MIDNIGHT, THEN BACKING SSW 16-20 LATER"
wind50M,"wind50M SSW 18-25 INCREASING 25-32 THIS EVENING, VEERING SW AROUND MIDNIGHT, THEN BACKING SSW 20-25 LATER"
waveSigHeight,waveSigHeight 1.5 RISING AROUND 2.0 BY MIDNIGHT
waveMaxHeight,waveMaxHeight 2.5 RISING AROUND 3.0 BY MIDNIGHT
wind10M,"wind10M S-SSW 12-18 VEERING SW 06-10 BY MIDNIGHT, THEN WSW LESS THAN 08 BY MORNING"
wind50M,"wind50M S-SSW 15-22 VEERING SW 07-12 BY MIDNIGHT, THEN WSW LESS THAN 10 BY MORNING"
wind10M,"wind10M SSE-SE 28-32 GUSTS 45, EASING 22-28 OVERNIGHT"
wind50M,"wind50M SSE-SE 35-40 GUSTS 55, EASING 28-35 OVERNIGHT"
waveSigHeight,waveSigHeight AROUND 5.0 RISING 5.0-6.0 OVERNIGHT
waveMaxHeight,waveMaxHeight AROUND 8.0 RISING 8.0-9.5 OVERNIGHT
wind10M,wind10M MAINLY W-SW 10 OR LESS
wind50M,wind50M MAINLY W-SW 12 OR LESS
wind10M,wind10M SE 22-26 RISING 26-30 THIS EVENING AND TONIGHT THEN VEERING S LATER IN THE PERIOD
wind50M,wind50M SE 28-33 RISING 33-38 THIS EVENING AND TONIGHT THEN VEERING S LATER IN THE PERIOD
waveSigHeight,waveSigHeight 2.5 RISING 3.5-4.0 LATER
waveMaxHeight,waveMaxHeight 4.0 RISING 5.5-6.5 LATER
wind10M,"wind10M SW 12-18 STEADILY INCREASING 38-44 GUSTS 55 BY MIDNIGHT, THEN VEERING SSW 26-30 BY MORNING"
wind50M,"wind50M SW 15-22 STEADILY INCREASING 48-54 GUSTS 65 BY MIDNIGHT, THEN VEERING SSW 32-38 BY MORNING"
waveSigHeight,"waveSigHeight 4.0-5.0 RISING 5.0-6.0 BY EARLY MORNING, FALLING AROUND 5.0 LATER"
waveMaxHeight,"waveMaxHeight 6.5-8.0 RISING 8.0-10.0 BY EARLY MORNING, FALLING AROUND 8.0 LATER"
wind10M,wind10M S-SE 15-20 INCREASING GRADUALLY SE-ESE 42-48 GUSTS 58
wind50M,wind50M S-SE 18-25 INCREASING GRADUALLY SE-ESE 52-58 GUSTS 68
waveSigHeight,waveSigHeight AROUND 2.5 GRADUALLY RISING 6.0--7.0
waveMaxHeight,waveMaxHeight AROUND 4.0 GRADUALLY RISING 9.5-11.0
wind10M,wind10M W'LY 8-12 BACKING SW 25-30 BY MIDNIGHT. LATER W-SW 22-28
wind50M,wind50M W'LY 10-15 BACKING SW 32-38 BY MIDNIGHT. LATER W-SW 28-35
waveSigHeight,waveSigHeight AROUND 3.0 RISING 3.5-4.0 OVERNIGHT
waveMaxHeight,waveMaxHeight AROUND 5.0 RISING 5.5-6.5 OVERNIGHT
wind10M,wind10M SSW 10-15 GRADUALLY BACKING/EASING SE 06-10
wind50M,wind50M SSW 12-18 GRADUALLY BACKING/EASING SE 07-12
waveSigHeight,waveSigHeight AROUND 3.5 FALLING NEAR 2.5 BY MORNING
waveMaxHeight,waveMaxHeight AROUND 5.5 FALLING NEAR 4.0 BY MORNING
wavePeriod,wavePeriod MAINLY 9-11 SSE-S SWELL
wind10M,wind10M E-NE 12-18 INCREASING E-SE 18-22 BY MORNING
wind50M,wind50M E-NE 15-22 INCREASING E-SE 22-28 BY MORNING
wind10M,wind10M ESE 5-10 VEERING S 10-14 THIS EVENING
wind50M,wind50M ESE 5-10 VEERING S 12-18 THIS EVENING
waveSigHeight,waveSigHeight 1.5-2.0 WITH CONFUSED SWELL
waveMaxHeight,waveMaxHeight 2.5-3.0 WITH CONFUSED SWELL
wavePeriod,"wavePeriod SEA 3-4, NE SWELL 7, WSW SWELL 11"
wind10M,wind10M N'LY 18-22 EASING 15-20 LATER
wind50M,wind50M N'LY 22-28 EASING 18-25 LATER
waveSigHeight,waveSigHeight AROUND 2.0 OCCASIONALLY NEAR 2.5 FOR A TIME THIS EVENING
waveMaxHeight,waveMaxHeight AROUND 3.0 OCCASIONALLY NEAR 4.0 FOR A TIME THIS EVENING
wind10M,wind10M S 18-22 GRADUALLY DECREASING 14-18
wind50M,wind50M S 23-28 GRADUALLY DECREASING 18-23
waveSigHeight,waveSigHeight 1.5-2.0 OCCASIONALLY 2.0-2.5 INCLUDING LONG WSW SWELL
waveMaxHeight,waveMaxHeight 3.0-4.0 INCLUDING LONG WSW SWELL
wavePeriod,"wavePeriod SEA 4-6, SWELL 12-13"
wind10M,wind10M NNE 26-30 GUSTS 40 DECREASING FROM THIS EVENING TO 12-16 BY END OF PERIOD
wind50M,wind50M NNE 33-38 GUSTS 48 DECREASING FROM THIS EVENING TO 12-16 BY END OF PERIOD
waveSigHeight,waveSigHeight 3.0-4.0 FALLING 2.0-2.5 LATER
waveMaxHeight,waveMaxHeight 5.0-6.5 FALLING 3.0-4.0 LATER
wavePeriod,"wavePeriod SEA 6-7 FALLING 4, SWELL 8-9"
wind10M,wind10M VARIABLE  8 OR LESS
wind50M,wind50M VARIABLE 10 OR LESS
wind10M,wind10M VARIABLE LESS THAN 10
wind50M,wind50M VARIABLE LESS THAN 12
wavePeriod,wavePeriod MAINLY 7-10 W-WNW SWELL
wind10M,"wind10M SSW 28-32 GUSTS 42 VEERING WSW 24-28 VERY SOON, BACKING SW 30-35 GUSTS 45 BY AROUND MIDNIGHT"
wind50M,"wind50M SSW 35-40 GUSTS 50 VEERING WSW 30-35 VERY SOON, BACKING SW 38-44 GUSTS 55 BY AROUND MIDNIGHT"
waveSigHeight,waveSigHeight 2.5-3.0 RISING 4.0-5.0 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 4.0-5.0 RISING 6.5-8.0 BY END OF PERIOD
wavePeriod,wavePeriod 6-7 RISING 8-10
wind10M,"wind10M SE-SSE 08-12 FRESHENING 18-22 BY MIDNIGHT, THEN VEERING/EASING SW 15-20 BY MORNING"
wind50M,"wind50M SE-SSE 10-15 FRESHENING 22-28 BY MIDNIGHT, THEN VEERING/EASING SW 18-25 BY MORNING"
waveSigHeight,waveSigHeight 1.0-1.5 RISING MAINLY NEAR 1.5 BY MIDNIGHT
waveMaxHeight,waveMaxHeight 1.5-2.5 RISING MAINLY NEAR 2.5 BY MIDNIGHT
wind10M,"wind10M SE-ESE 10-15 EASING  8 OR LESS, GRADUALLY BACKING NE"
wind50M,"wind50M SE-ESE 12-18 EASING 10 OR LESS, GRADUALLY BACKING NE"
waveSigHeight,"waveSigHeight 3.5-4.0 SSE SWELL, FALLING AROUND 2.0"
waveMaxHeight,"waveMaxHeight 5.5-6.5 SSE SWELL, FALLING AROUND 3.0"
wind10M,wind10M NNE 10-14 BACKING NW 5-10 THIS EVENING THEN BACKING SW TONIGHT
wind50M,wind50M NNE 12-18 BACKING NW 6-12 THIS EVENING THEN BACKING SW TONIGHT
wind10M,wind10M S-SSE 26-30 RISING 32-36 GUSTS 45 THIS EVENING THEN VEERING SSW 36-40 GUSTS 55 LATER
wind50M,wind50M S-SSE 33-38 RISING 40-45 GUSTS 55 THIS EVENING THEN VEERING SSW 45-50 GUSTS 65 LATER
waveSigHeight,waveSigHeight 3.0-3.5 RISING 6.0-7.0
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING 9.5-11.0
wind10M,wind10M S-SE 30-35 WITH GUSTS TO 50 SLOWLY BACKING AND EASING E-SE 20-25
wind50M,wind50M S-SE 38-44 WITH GUSTS TO 60 SLOWLY BACKING AND EASING E-SE 25-32
waveSigHeight,waveSigHeight 6.0-7.0 POSSIBLY 7.0-8.0 AT TIMES AT FIRST SLOWLY EASING 4.0-5.0
waveMaxHeight,waveMaxHeight 9.5-11.0 POSSIBLY 11.0-13.0 AT TIMES AT FIRST SLOWLY EASING 6.5-8.0
windconf,windconf LOW - UNCERTAINTY OVER TRACK OF WAVE PASSING THE AREA THIS EVENING
wind10M,wind10M W'LY 12-18 VEERING W-NW 20-25 BY MIDNIGHT. LATER W'LY 15-20
wind50M,wind50M W'LY 15-22 VEERING W-NW 25-32 BY MIDNIGHT. LATER W'LY 20-25
waveMaxHeight,waveMaxHeight MAINLY 5.0-6.5
wind10M,wind10M SSE-SE 08-12
wind50M,wind50M SSE-SE 10-15
wavePeriod,wavePeriod MAINLY 8-11 SW SWELL
wind10M,wind10M SE 18-22 RISING 26-30 TONIGHT
wind50M,wind50M SE 23-28 RISING 33-38 TONIGHT
waveSigHeight,waveSigHeight 2.0-2.5 RISING 4.0-4.5 LATER TONIGHT
waveMaxHeight,waveMaxHeight 3.0-4.0 RISING 6.5-7.0 LATER TONIGHT
wavePeriod,"wavePeriod SEA 4-5 RISING 5-7, SWELL 8-9"
wind10M,wind10M SSE 14-18 RISING 30-34 TONIGHT THEN VEERING S BY END OF PERIOD
wind50M,wind50M SSE 18-23 RISING 38-43 TONIGHT THEN VEERING S BY END OF PERIOD
waveSigHeight,waveSigHeight 2.5 RISING 4.0-4.5 LATER
waveMaxHeight,waveMaxHeight 4.0 RISING 6.5-7.0 LATER
wavePeriod,"wavePeriod SEA 4 RISING 6-7, SWELL 9-11"
wind10M,wind10M E-NE 06-12 GRADUALL BACKING/FRESHENING NNE-N 10-15
wind50M,wind50M E-NE 07-15 GRADUALL BACKING/FRESHENING NNE-N 12-18
wavePeriod,wavePeriod SEA 2-4 SWELL: NE-NNE 5-7
wind10M,"wind10M SSE 18-22 VEERING S THIS EVENING, DECREASING 10-14 LATER IN THE PERIOD"
wind50M,"wind50M SSE 23-28 VEERING S THIS EVENING, DECREASING 12-18 LATER IN THE PERIOD"
wind10M,wind10M S'LY 28-32 GRADUALLY INCREASING AND LATER VEERING SSW 34-38 GUSTS 50
wind50M,wind50M S'LY 35-40 GRADUALLY INCREASING AND LATER VEERING SSW 43-48 GUSTS 58
waveSigHeight,waveSigHeight AROUND 3.5 RISING AROUND 6.0 BY MORNING
waveMaxHeight,waveMaxHeight AROUND 5.5 RISING AROUND 10.0 BY MORNING
wind10M,"wind10M S 26-30 RISING 34-38 GUSTS 48 TONIGHT, VEERING SSW 26-30 BY 0600"
wind50M,"wind50M S 33-38 RISING 43-48 GUSTS 58 TONIGHT, VEERING SSW 33-38 BY 0600"
waveSigHeight,waveSigHeight 3.0-3.5 RISING 5.0-6.0 TONIGHT
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING 8.0-9.5 TONIGHT
wind10M,wind10M SE 25-30 GUSTS 40
wind50M,wind50M SE 30-38 GUSTS 50
waveSigHeight,waveSigHeight 4.5-5.0 FALLING AROUND 4.0
waveMaxHeight,waveMaxHeight 7.5-8.0 FALLING AROUND 6.5
wind10M,wind10M S-SE 22-28 BACKING AND INCREASING SE 28-32
wind50M,wind50M S-SE 28-35 BACKING AND INCREASING SE 35-40
waveSigHeight,waveSigHeight 3.0-4.0 RISING LATER TO 4.5-5.0
waveMaxHeight,waveMaxHeight 5.0-6.5 RISING LATER TO 7.0-8.0
wind10M,"wind10M SW 15-20 BACKING SSW 18-22 BY MIDNIGHT, THEN EASING AND LATER VEERING SW 10-15"
wind50M,"wind50M SW 18-25 BACKING SSW 22-28 BY MIDNIGHT, THEN EASING AND LATER VEERING SW 12-18"
waveSigHeight,waveSigHeight AROUND 1.5 RISING NEAR 2.0 FOR A TIME AROUND MIDNIGHT
waveMaxHeight,waveMaxHeight AROUND 2.5 RISING NEAR 3.0 FOR A TIME AROUND MIDNIGHT
wind10M,"wind10M NNW 25-30 GUSTS 40 IN SHOWERS, GRADUALLY DECREASING AND LATER BACKING NW 12-18"
wind50M,"wind50M NNW 32-38 GUSTS 48 IN SHOWERS, GRADUALLY DECREASING AND LATER BACKING NW 15-20"
waveSigHeight,waveSigHeight 4.0-5.0 FALLING 3.0-3.5 BY END OF PERIOD
waveMaxHeight,waveMaxHeight 6.5-8.0 FALLING 5.0-5.5 BY END OF PERIOD
wavePeriod,wavePeriod SEA: 5-7 FALLING 4-5 SWELL: 9-11
wind10M,"wind10M SSW 30-34 VEERING WSW 20-24 THIS EVENING, VEERING W AND DECREASING 10-14 LATER IN THE PERIOD"
wind50M,"wind50M SSW 38-43 VEERING WSW 25-30 THIS EVENING, VEERING W AND DECREASING 12-18 LATER IN THE PERIOD"
wavePeriod,"wavePeriod SEA 6-8 FALLING 3-4, SWELL 8-10"
wind10M,wind10M S-SW 10-15 STEADILY BACKING E'LY 20-25
wind50M,wind50M S-SW 12-18 STEADILY BACKING E'LY 25-32
waveSigHeight,waveSigHeight 2.5-3.0 WITH CONFUSED SWELLS BECOMING MAINLY 3.0
waveMaxHeight,waveMaxHeight 4.0-5.0 WITH CONFUSED SWELLS BECOMING MAINLY 5.0
wind10M,wind10M SW 25-30 INCREASING W'LY 32-38 WITH GUSTS TO 50
wind50M,wind50M SW 32-38 INCREASING W'LY 40-48 WITH GUSTS TO 60
waveSigHeight,waveSigHeight 3.5-4.5 INCREASING 4.5-5.5
waveMaxHeight,waveMaxHeight 5.5-7.0 INCREASING 7.0-8.5
wind10M,"wind10M S-SE 15-20 SOON VEERING AND EASING SW-W 12-15, BACKING SW-S 15-20 OVERNIGHT"
wind50M,"wind50M S-SE 18-25 SOON VEERING AND EASING SW-W 15-18, BACKING SW-S 18-25 OVERNIGHT"
waveSigHeight,waveSigHeight AROUND 2.5 FALLING 1.5-2.0
waveMaxHeight,waveMaxHeight AROUND 4.0 FALLING 2.5-3.0
wind10M,wind10M SSW 26-30 RISING 32-36 GUSTS 45 BY EVENING THEN GRADUALLY BECOMING SW TONIGHT
wind50M,wind50M SSW 33-38 RISING 40-45 GUSTS 55 BY EVENING THEN GRADUALLY BECOMING SW TONIGHT
waveSigHeight,waveSigHeight 3.0-3.5 RISING 5.0-5.5
waveMaxHeight,waveMaxHeight 5.0-5.5 RISING 8.0-9.0
wind10M,wind10M N-NE 18-22 SLOWLY DECREASING N'LY 12-18
wind50M,wind50M N-NE 22-28 SLOWLY DECREASING N'LY 15-22
waveSigHeight,waveSigHeight 2.0-2.5 POSSIBLY 2.5-3.0 FOR A TIME. EASING 2.0 LATER
waveMaxHeight,waveMaxHeight 3.0-4.0 POSSIBLY 4.0-5.0 FOR A TIME. EASING 3.0 LATER
wind10M,wind10M W-SW 12-18 EASING 10-15 AND LATER VEERING NW
wind50M,wind50M W-SW 15-22 EASING 12-18 AND LATER VEERING NW
waveSigHeight,waveSigHeight 1.5-2.0 FALLING TO 1.0-1.5
waveMaxHeight,waveMaxHeight 2.5-3.0 FALLING TO 1.5-2.5
wind10M,wind10M ESE 5-10 BACKING WNW TONIGHT AND RISING 10-14 LATER
wind50M,wind50M ESE 6-12 BACKING WNW TONIGHT AND RISING 12-18 LATER
wavePeriod,"wavePeriod SEA 3-4, WNW SWELL 10-11"
wind10M,"wind10M NW-W 06-12 BACKING SW-S LESS THAN 08 BY MIDNIGHT, THEN SSE 10-15 BY MORNING"
wind50M,"wind50M NW-W 07-15 BACKING SW-S LESS THAN 10 BY MIDNIGHT, THEN SSE 10-15 BY MORNING"
wind10M,wind10M S 16-20 SLOWLY DECREASING 5-10 AFTER MIDNIGHT
wind50M,wind50M S 20-25 SLOWLY DECREASING 6-12 AFTER MIDNIGHT
waveSigHeight,waveSigHeight 2.0 FALLING 1.0-1.5 AFTER MIDNIGHT
waveMaxHeight,waveMaxHeight 3.0 FALLING 1.5-2.5 AFTER MIDNIGHT
wavePeriod,"wavePeriod SEA 4-5 FALLING 3, SWELL 9-10"
wind10M,"wind10M WNW 10-14 VEERING N 14-18 THIS EVENING THEN VEERING NE 10-14 BY MIDNIGHT, VEERING S 20-24 LATER"
wind50M,"wind50M WNW 12-18 VEERING N 18-23 THIS EVENING THEN VEERING NE 12-18 BY MIDNIGHT, VEERING S 25-30 LATER"
waveSigHeight,waveSigHeight 1.5-2.0 RISING 2.0-2.5 IN NNW SWELL
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING 3.0-4.0 IN NNW SWELL
wavePeriod,"wavePeriod SEA 4-5, SWELL 7-8 BECOMING 10"
wind10M,wind10M NW 08-13 GRADUALLY BACKING/EASING W'LY LESS THAN 10
wind50M,wind50M NW 10-17 GRADUALLY BACKING/EASING W'LY LESS THAN 12
waveSigHeight,waveSigHeight 0.5-1.0 FALLING MAINLY AROUND 0.5
waveMaxHeight,waveMaxHeight 1.0-1.5 FALLING MAINLY AROUND 1.0
wavePeriod,wavePeriod SEA: 2-4 SWELL: W'LY 8-9
wind10M,wind10M SSW 08-12 SLOWLY VEERING W'LY BY END OF PERIOD
wind50M,wind50M SSW 10-15 SLOWLY VEERING W'LY BY END OF PERIOD
wind10M,"wind10M CYCLONIC VARIABLE 12 OR LESS, INCREASING S-SE 25-30 BY MORNING"
wind50M,"wind50M CYCLONIC VARIABLE 15 OR LESS, INCREASING S-SE 30-38 BY MORNING"
waveSigHeight,waveSigHeight 1.5-2.0 RISING AROUND 2.5 LATER
waveMaxHeight,waveMaxHeight 2.5-3.0 RISING AROUND 4.0 LATER
wind10M,wind10M MAINLY S 10 OR LESS
wind50M,wind50M MAINLY S 12 OR LESS
wavePeriod,"wavePeriod SEA 3, SWELL 7"
wind10M,wind10M SW 25-30 WITH GUSTS TO 40 BACKING S-SW 20-25 BY EVENING. RISING LATER S'LY 30-35 GUSTS 50
wind50M,wind50M SW 32-38 WITH GUSTS TO 48 BACKING S-SW 25-32 BY EVENING. RISING LATER S'LY 38-44 GUSTS 60
waveSigHeight,waveSigHeight 4.0-5.0 FALLING 3.0-3.5 FOR A TIME
waveMaxHeight,waveMaxHeight 6.5-8.0 FALLING 5.0-5.5 FOR A TIME
windconf,windconf LOW - DEPENDING ON EXACT TRACK THAT LOW TAKES OVER THE AREA
wind10M,wind10M E-SE 22-28 BACKING NE 42-48 WITH GUSTS TO 60 BY MIDNIGHT. POSSIBLY CYCLONIC VARIABLE 18-22 IN THE HOURS. BECOMING W-SW 40-45 GUSTS 60 BY END OF PERIOD
wind50M,wind50M E-SE 28-35 BACKING NE 52-58 WITH GUSTS TO 70 BY MIDNIGHT. POSSIBLY CYCLONIC VARIABLE 22-28 IN THE HOURS. BECOMING W-SW 50-55 GUSTS 70 BY END OF PERIOD
waveconf,waveconf LOW - DEPENDING ON TRACK OF LOW
waveSigHeight,waveSigHeight 3.0-4.0 BECOMING 5.0-6.0
waveMaxHeight,waveMaxHeight 5.0-6.5 BECOMING 8.0-9.5
windconf,windconf LOW - DEPENDING ON TRACK OF WAVE AT FIRST
wind10M,wind10M W-SW 10 OR LESS VEERING NW AND RISING 18-22
wind50M,wind50M W-SW 12 OR LESS VEERING NW AND RISING 22-28
waveSigHeight,waveSigHeight 2.5-3.0 WITH SWELL POSSIBLY 3.0-3.5 AT TIMES
waveMaxHeight,waveMaxHeight 4.0-5.0 WITH SWELL POSSIBLY 5.0-5.5 AT TIMES
wind10M,wind10M S-SE 12 OR LESS
wind50M,wind50M S-SE 15 OR LESS
wind10M,wind10M SSE 26-30 RISING 30-34 GUSTS 42 THIS EVENING AND BACKING SE AFTER MIDNIGHT
wind50M,wind50M SSE 33-38 RISING 38-43 GUSTS 52 THIS EVENING AND BACKING SE AFTER MIDNIGHT
waveSigHeight,waveSigHeight 3.5-4.0 RISING 4.5-5.0
waveMaxHeight,waveMaxHeight 5.5-6.5 RISING 7.0-8.0
wind10M,wind10M SE 12-18 BACKING SE-E 08-12 LATER
wind50M,wind50M SE 15-22 BACKING SE-E 10-15 LATER
wind10M,"wind10M SSW 10-14 SOON VEERING NW THIS AFTERNOON THEN RISING 18-22 THIS EVENING, DECREASING 12-16 BY 0600"
wind50M,"wind50M SSW 12-18 SOON VEERING NW THIS AFTERNOON THEN RISING 23-28 THIS EVENING, DECREASING 15-20 BY 0600"
waveSigHeight,waveSigHeight 1.0-1.5 RISING 1.5-2.0 FOR A TIME
waveMaxHeight,waveMaxHeight 1.5-2.0 RISING 2.5-3.0 FOR A TIME
wind10M,wind10M SW 15-20 STEADILY BACKING S-SE 38-42 WITH GUSTS TO 52
wind50M,wind50M SW 20-25 STEADILY BACKING S-SE 48-52 WITH GUSTS TO 62
